"","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","repayment_status_april","repayment_status_may","repayment_status_june","repayment_status_july","repayment_status_august","repayment_status_september","default_payment_next_month"
"53",310000,2,2,1,49,1,1,1,1,1,1,0
"54",180000,2,1,2,25,1,1,1,1,1,1,0
"55",150000,2,1,2,29,1,1,1,1,1,1,0
"56",5e+05,2,1,1,45,1,1,0,1,1,1,0
"57",180000,2,3,1,34,1,0,1,1,1,1,0
"58",180000,2,2,1,34,1,1,1,1,1,1,0
"59",2e+05,2,1,2,34,1,1,1,1,1,1,0
"60",4e+05,2,2,1,29,1,1,1,1,1,1,0
"61",5e+05,2,3,1,28,1,1,1,1,1,1,1
"62",70000,1,2,1,39,1,1,1,1,1,1,0
"63",50000,1,1,2,29,1,1,1,1,1,1,1
"64",50000,2,2,1,46,0,0,0,0,1,1,1
"65",130000,2,2,1,51,0,1,0,0,0,1,0
"66",2e+05,1,1,1,57,1,1,1,1,1,1,1
"67",10000,1,2,1,56,1,1,1,1,1,1,1
"68",210000,2,1,2,30,1,0,1,1,0,0,0
"69",130000,2,3,2,29,0,0,1,0,0,0,0
"70",20000,1,4,2,22,1,1,1,1,1,1,0
"71",80000,1,1,2,31,0,0,0,0,0,1,0
"72",320000,1,2,2,29,1,1,1,1,1,1,1
"73",2e+05,2,2,1,32,1,1,1,0,1,1,0
"74",290000,2,1,2,37,0,1,0,1,0,0,0
"75",340000,1,1,2,32,1,1,1,1,1,1,0
"76",20000,1,2,2,24,1,1,1,1,1,1,0
"77",50000,1,3,2,25,1,1,1,1,1,1,0
"78",3e+05,2,1,1,45,0,0,0,0,0,0,0
"79",30000,2,2,2,22,1,1,1,1,1,1,1
"80",240000,2,2,2,44,0,0,0,0,0,0,1
"81",470000,2,3,3,33,1,1,1,1,1,1,0
"82",360000,2,1,2,26,0,1,1,1,1,1,0
"83",60000,1,3,2,30,1,1,1,1,1,1,1
"84",4e+05,2,2,1,44,1,1,1,1,1,1,0
"85",50000,2,3,2,49,1,1,1,1,1,1,0
"86",160000,1,2,2,33,1,1,1,1,1,1,0
"87",360000,2,1,1,45,0,0,0,1,1,1,1
"88",160000,2,2,2,32,0,1,1,1,1,1,0
"89",130000,2,1,1,35,0,1,0,1,1,1,0
"90",20000,1,3,2,44,1,1,1,1,1,1,0
"91",2e+05,1,1,1,53,1,1,1,1,1,1,1
"92",280000,2,1,2,39,0,0,1,1,1,1,0
"93",1e+05,2,1,2,27,0,0,0,0,1,0,0
"94",160000,2,2,1,37,0,0,0,0,0,0,0
"95",60000,2,2,2,23,1,1,1,1,1,1,0
"96",90000,1,2,2,35,1,1,1,1,1,1,0
"97",360000,1,1,1,43,0,0,0,0,0,0,0
"98",150000,1,1,2,27,1,1,1,1,1,1,0
"99",50000,2,3,1,22,1,1,1,1,1,1,0
"100",20000,1,2,1,38,1,1,1,1,1,1,1
"101",140000,1,1,2,32,1,1,1,1,1,1,0
"102",380000,2,1,2,30,1,1,1,1,1,1,0
"103",480000,1,1,1,63,1,1,1,1,1,1,0
"104",50000,2,3,2,22,1,1,1,1,1,1,1
"105",60000,2,2,2,26,1,1,1,1,1,1,0
"106",70000,2,2,2,24,1,0,0,0,0,1,0
"107",80000,2,2,1,36,1,1,1,1,1,1,0
"108",350000,1,1,2,52,1,0,0,0,0,0,0
"109",130000,1,2,2,38,1,1,1,1,1,1,0
"110",360000,1,2,1,35,0,0,0,0,0,0,0
"111",330000,2,1,1,31,1,1,1,1,1,1,0
"112",50000,1,3,1,47,1,1,1,1,1,1,0
"113",280000,1,2,1,41,1,1,1,1,1,1,0
"114",1e+05,2,1,2,24,1,1,1,1,1,1,0
"115",50000,1,2,2,41,1,1,1,1,1,1,0
"116",30000,1,1,2,24,1,1,1,1,1,1,1
"117",240000,1,1,2,28,0,0,1,0,0,0,0
"118",80000,1,2,2,26,1,1,1,1,1,1,1
"119",4e+05,1,2,1,34,1,1,1,1,1,1,0
"120",240000,2,2,2,38,1,1,1,1,1,1,0
"121",50000,1,3,2,37,1,1,1,1,1,1,1
"122",450000,1,1,1,40,0,0,0,0,0,0,1
"123",110000,2,1,1,48,0,0,0,0,0,0,0
"124",310000,2,2,1,35,1,1,1,1,1,1,1
"125",20000,1,1,2,27,1,1,1,1,1,1,0
"126",20000,1,2,2,23,0,0,0,0,0,0,0
"127",2e+05,1,3,2,52,1,1,1,1,1,1,0
"128",180000,1,1,1,36,1,1,1,1,1,1,1
"129",50000,1,2,1,51,1,1,1,1,1,1,1
"130",60000,1,3,1,55,1,1,1,1,1,1,0
"131",30000,2,1,2,23,1,1,0,1,1,1,0
"132",240000,1,1,2,41,1,0,1,1,1,1,0
"133",420000,1,2,1,34,1,1,1,1,1,1,0
"134",330000,1,3,1,46,1,1,1,1,1,1,0
"135",30000,2,2,2,22,0,1,1,1,1,1,0
"136",240000,1,2,1,34,1,1,1,1,1,1,0
"137",150000,1,1,2,27,1,1,1,1,1,1,0
"138",210000,2,2,1,33,1,1,1,1,1,1,0
"139",50000,2,3,1,51,0,0,0,1,1,1,1
"140",50000,1,1,2,24,1,1,1,1,1,1,0
"141",240000,1,1,2,47,0,0,0,0,0,0,1
"142",180000,1,2,2,28,0,0,0,0,0,0,0
"143",50000,1,2,2,23,1,1,1,1,1,1,0
"144",170000,1,2,2,29,1,0,0,0,0,1,0
"145",20000,1,1,2,29,1,1,1,1,1,1,0
"146",50000,1,1,2,28,1,1,1,1,1,1,0
"147",170000,2,2,2,27,1,1,1,1,1,1,1
"148",2e+05,1,1,2,34,1,1,1,1,1,1,0
"149",80000,2,2,1,23,1,1,1,1,1,1,0
"150",260000,2,1,1,60,1,1,0,1,0,0,0
"151",140000,1,2,1,32,1,1,1,1,1,1,0
"152",80000,1,1,2,25,1,1,1,1,1,1,0
"153",350000,1,1,2,41,0,0,1,1,1,1,0
"154",280000,2,2,1,56,1,1,1,1,1,1,0
"155",30000,2,3,2,26,1,1,1,1,1,1,0
"156",140000,1,1,1,34,1,1,1,1,1,1,0
"157",2e+05,2,1,2,37,1,1,1,1,1,1,0
"158",2e+05,2,3,2,30,1,1,1,1,1,1,0
"159",210000,1,3,1,45,1,1,1,1,1,1,1
"160",50000,1,3,1,57,1,1,1,1,1,1,0
"161",30000,1,1,2,41,1,1,1,1,1,1,0
"162",50000,1,2,2,27,1,1,1,1,1,1,0
"163",290000,1,3,1,47,1,1,1,1,1,1,0
"164",250000,2,1,1,34,1,1,1,1,1,1,0
"165",60000,2,2,1,46,1,1,1,1,1,1,0
"166",110000,2,1,2,27,1,1,1,1,1,1,0
"167",370000,1,1,2,50,1,1,1,1,1,1,0
"168",1e+05,1,2,1,27,0,0,1,1,1,1,0
"169",90000,2,2,1,35,1,1,1,1,1,1,0
"170",50000,2,2,2,22,1,1,1,1,1,1,0
"171",270000,1,2,2,37,1,1,1,1,1,1,0
"172",3e+05,2,1,2,30,1,1,1,0,1,0,0
"173",50000,2,2,2,22,0,0,1,1,1,1,0
"174",50000,2,1,2,24,0,0,0,0,0,0,1
"175",360000,1,1,2,29,0,0,0,1,0,0,0
"176",130000,1,3,1,56,1,1,1,1,1,1,1
"177",80000,1,1,2,30,1,1,1,1,1,1,0
"178",50000,1,2,2,30,1,1,1,1,1,1,0
"179",20000,2,2,2,22,1,1,1,1,1,1,0
"180",80000,2,2,1,29,1,1,1,1,1,1,0
"181",240000,1,1,2,37,0,0,0,1,1,1,0
"182",80000,2,3,2,35,1,1,1,1,1,1,0
"183",5e+05,2,1,1,47,1,1,1,1,1,1,0
"184",60000,2,2,1,24,1,1,1,1,1,1,1
"185",20000,1,2,2,25,1,1,1,1,1,1,0
"186",1e+05,2,2,1,38,1,1,1,1,1,1,1
"187",360000,2,1,2,32,0,0,1,0,1,0,0
"188",2e+05,2,3,2,47,1,1,1,1,1,1,1
"189",130000,2,2,1,34,1,1,1,1,1,1,0
"190",20000,2,2,2,31,1,1,1,1,1,1,0
"191",310000,1,1,2,32,1,1,1,1,1,1,0
"192",60000,2,1,2,27,1,1,1,1,1,1,1
"193",180000,2,1,2,29,1,1,1,1,1,1,0
"194",180000,2,1,2,24,0,0,1,1,1,1,0
"195",50000,1,2,1,36,0,0,0,0,1,1,0
"196",50000,2,1,2,24,1,1,1,1,1,1,1
"197",150000,2,2,1,34,1,0,1,0,0,0,0
"198",20000,2,1,2,22,1,1,1,1,1,1,0
"199",5e+05,2,1,1,34,0,0,0,0,0,0,0
"200",30000,2,3,2,22,0,1,1,1,1,1,1
"201",180000,2,1,1,38,0,0,0,0,0,1,0
"202",140000,1,1,2,31,1,1,1,1,1,1,0
"203",140000,2,1,2,26,0,1,0,1,1,1,0
"204",120000,1,2,2,26,1,1,1,1,1,1,0
"205",360000,2,2,1,48,1,1,1,1,1,1,0
"206",20000,1,3,1,43,1,1,1,1,1,1,0
"207",1e+05,1,1,1,47,0,0,0,0,0,0,0
"208",210000,2,2,1,41,0,1,1,0,1,1,1
"209",80000,2,2,2,24,1,1,1,1,1,1,1
"210",330000,2,1,1,50,1,0,1,1,1,1,0
"211",220000,1,1,2,24,1,0,1,1,1,1,0
"212",210000,2,1,1,38,0,0,0,0,0,0,1
"213",40000,2,3,1,43,1,1,1,1,1,1,0
"214",30000,1,2,2,39,1,1,1,1,1,1,0
"215",470000,1,2,2,27,1,1,1,1,1,1,0
"216",30000,1,3,1,42,1,1,1,1,1,1,0
"217",240000,2,2,1,36,0,0,0,0,0,0,1
"218",80000,1,2,2,36,1,1,1,1,1,1,0
"219",110000,2,3,3,31,1,1,1,1,1,1,0
"220",310000,2,1,2,38,0,0,0,1,1,1,0
"221",360000,2,1,1,40,1,1,1,1,1,1,1
"222",330000,2,3,2,45,1,1,1,1,1,1,0
"223",3e+05,2,2,2,35,1,1,1,1,1,1,0
"224",320000,2,2,2,33,1,1,1,1,1,1,0
"225",50000,2,3,2,37,0,1,1,1,1,1,1
"226",170000,2,1,2,28,1,1,1,1,1,1,0
"227",350000,1,3,1,44,0,0,1,1,1,1,0
"228",20000,1,2,1,37,1,1,1,1,1,1,0
"229",50000,1,2,2,23,1,1,1,1,1,1,1
"230",20000,2,3,2,24,0,0,1,1,1,1,0
"231",50000,2,1,2,24,1,1,1,1,1,1,0
"232",20000,1,2,2,23,1,1,1,1,1,1,1
"233",50000,1,2,1,26,1,1,1,1,1,1,0
"234",190000,1,2,2,34,1,1,1,1,1,1,1
"235",60000,2,2,1,33,1,1,1,1,1,1,0
"236",80000,1,1,2,35,1,0,0,1,1,1,0
"237",150000,2,2,2,27,1,1,1,1,1,1,0
"238",210000,2,1,2,31,0,1,0,1,0,0,0
"239",240000,2,3,1,50,1,1,1,1,1,1,1
"240",140000,2,2,3,41,1,1,1,1,1,1,1
"241",60000,2,1,2,28,1,0,0,0,1,1,0
"242",50000,1,1,2,39,1,1,1,1,1,1,0
"243",50000,2,2,2,27,1,1,1,1,1,1,0
"244",180000,2,1,2,32,0,1,0,1,1,1,0
"245",30000,2,1,2,40,1,0,0,1,1,1,0
"246",20000,2,2,2,40,0,0,1,1,1,1,0
"247",250000,2,2,1,75,0,1,0,1,1,1,0
"248",1e+05,2,2,2,27,1,1,1,1,1,1,0
"249",330000,1,1,2,25,1,1,1,1,1,1,0
"250",50000,1,3,1,46,1,1,1,1,1,1,0
"251",50000,2,2,2,26,1,1,1,1,1,1,0
"252",30000,1,2,2,28,0,1,1,1,1,1,0
"253",140000,2,2,2,26,1,1,1,1,1,1,1
"254",160000,2,1,2,28,1,1,1,1,1,1,0
"255",4e+05,2,2,2,29,1,1,1,1,1,1,0
"256",50000,1,2,1,25,1,1,1,1,1,1,0
"257",140000,2,2,1,48,1,0,1,0,0,0,0
"258",160000,2,2,1,33,1,1,1,1,1,1,0
"259",1e+05,2,3,1,43,0,0,0,0,0,1,0
"260",220000,1,1,1,48,1,1,1,1,1,1,1
"261",510000,2,1,2,29,0,1,1,1,1,1,0
"262",50000,1,2,2,29,1,1,1,1,1,1,0
"263",160000,2,1,1,38,1,1,1,1,1,1,0
"264",230000,2,1,2,37,1,1,0,0,1,1,0
"265",80000,2,1,2,37,1,0,0,1,0,1,0
"266",150000,2,2,1,25,0,0,0,0,0,1,0
"267",10000,1,3,2,23,1,1,1,1,1,1,0
"268",130000,2,3,2,49,1,1,1,1,1,1,1
"269",40000,2,1,2,48,1,1,1,1,1,1,0
"270",50000,1,2,2,27,1,1,1,1,1,1,1
"271",1e+05,1,3,2,32,1,1,1,1,1,1,0
"272",120000,1,1,1,34,0,0,1,1,1,1,0
"273",260000,2,1,2,58,0,0,0,0,0,0,1
"274",2e+05,2,2,2,33,1,1,1,1,1,1,0
"275",360000,2,2,2,28,0,0,0,0,0,0,1
"276",70000,2,2,2,36,1,1,1,1,1,1,0
"277",460000,1,1,1,40,1,0,1,0,1,1,1
"278",50000,2,1,2,26,0,0,0,0,0,1,0
"279",50000,1,3,1,33,1,1,1,1,1,1,0
"280",250000,2,2,1,31,1,1,1,1,1,1,0
"281",30000,2,1,2,27,0,0,1,1,1,1,0
"282",270000,1,2,1,44,1,1,1,1,1,1,0
"283",180000,2,3,2,30,1,1,1,1,1,1,0
"284",1e+05,2,1,2,28,1,1,1,1,1,1,0
"285",230000,2,3,1,32,1,1,1,1,1,1,0
"286",210000,2,1,1,46,0,0,1,1,1,1,0
"287",210000,1,1,2,38,1,1,1,1,1,1,0
"288",440000,2,2,1,46,1,1,1,1,1,1,0
"289",1e+05,2,2,2,25,1,1,1,1,1,1,1
"290",240000,2,2,1,46,1,1,1,1,1,1,0
"291",280000,1,1,2,33,0,0,0,0,0,0,1
"292",50000,2,2,2,22,0,0,0,0,0,0,1
"293",30000,1,2,1,43,1,1,1,1,1,1,0
"294",10000,1,2,2,27,1,1,1,1,1,1,1
"295",130000,1,1,2,29,0,0,0,0,0,0,0
"296",2e+05,1,1,2,31,1,1,1,1,1,1,0
"297",120000,2,2,1,29,0,0,0,0,0,0,0
"298",210000,2,2,1,36,1,1,1,1,1,1,0
"299",280000,2,1,1,36,1,1,1,1,1,1,0
"300",3e+05,1,1,2,34,1,1,1,1,1,1,1
"301",1e+05,1,2,2,37,1,1,1,1,1,1,0
"302",440000,2,1,2,36,0,0,0,0,0,0,0
"303",50000,2,3,1,40,1,1,1,1,1,1,0
"304",20000,2,1,2,25,1,1,1,1,1,1,1
"305",2e+05,2,1,2,27,1,1,1,1,1,1,0
"306",110000,2,2,2,26,1,1,1,1,1,1,0
"307",5e+05,2,2,1,36,0,1,1,0,1,1,0
"308",3e+05,2,2,1,27,0,0,0,0,1,0,0
"309",30000,1,3,1,55,1,1,1,1,1,1,1
"310",60000,2,1,2,27,1,0,1,1,1,1,0
"311",4e+05,2,2,1,38,0,0,1,0,0,1,0
"312",180000,2,2,1,34,1,1,1,1,1,1,0
"313",20000,1,1,2,40,1,1,1,1,1,1,0
"314",2e+05,2,3,1,49,1,1,1,1,1,1,1
"315",1e+05,1,1,2,27,1,1,1,1,1,1,0
"316",60000,1,2,2,23,1,1,1,1,1,1,1
"317",110000,2,2,2,36,1,1,1,1,1,1,0
"318",260000,2,3,1,53,1,0,0,1,0,0,0
"319",50000,2,3,1,46,1,1,1,1,1,1,0
"320",180000,1,2,2,29,0,0,0,0,0,0,0
"321",110000,1,2,2,29,1,1,1,1,1,1,1
"322",340000,2,1,2,27,1,1,1,1,1,1,0
"323",50000,1,2,2,24,1,1,1,1,1,1,0
"324",230000,2,2,1,28,1,0,1,1,1,1,1
"325",360000,2,2,2,32,1,1,1,1,1,1,0
"326",210000,1,2,2,43,1,1,1,1,1,1,0
"327",220000,2,2,1,41,0,1,1,1,1,1,1
"328",60000,2,2,1,34,1,1,1,1,1,1,1
"329",340000,1,2,1,55,0,0,0,0,0,0,0
"330",150000,1,1,1,40,1,1,1,1,1,1,0
"331",2e+05,2,2,1,37,1,1,1,0,0,0,1
"332",130000,2,2,2,40,1,1,1,1,1,1,1
"333",60000,2,1,2,28,1,1,1,1,1,1,0
"334",4e+05,2,2,1,43,1,1,0,0,0,0,0
"335",20000,1,1,2,27,1,1,1,1,1,1,0
"336",190000,2,1,2,28,1,1,1,1,1,1,0
"337",260000,2,1,2,30,1,1,1,1,1,1,0
"338",140000,2,2,2,31,0,0,0,0,0,1,0
"339",50000,2,2,1,31,1,1,1,1,1,1,1
"340",120000,2,1,2,34,0,0,0,1,1,0,0
"341",240000,2,2,2,30,0,0,0,0,0,0,0
"342",50000,1,2,2,36,1,1,1,1,1,1,0
"343",2e+05,2,1,2,29,1,1,1,1,1,1,0
"344",180000,1,1,1,39,0,0,1,1,1,1,0
"345",180000,2,1,2,26,1,1,1,1,1,1,0
"346",160000,2,1,2,29,0,0,0,0,0,0,0
"347",1e+05,2,2,2,26,1,1,1,1,1,1,0
"348",50000,2,2,2,29,1,1,1,1,1,1,1
"349",140000,2,2,2,31,1,1,1,1,1,1,0
"350",30000,2,2,2,26,1,1,1,1,1,1,1
"351",90000,1,1,2,26,1,0,0,1,1,1,0
"352",2e+05,1,1,1,36,0,0,0,0,0,0,0
"353",380000,1,1,2,30,0,0,0,0,0,0,1
"354",80000,2,2,2,43,1,1,1,1,1,1,0
"355",50000,1,3,1,58,1,1,1,1,1,1,0
"356",180000,1,2,1,45,1,1,1,1,1,1,1
"357",240000,2,2,2,26,1,1,1,1,1,1,0
"358",380000,1,2,2,34,1,1,1,1,1,1,0
"359",110000,2,4,2,24,1,1,1,1,1,1,0
"360",260000,1,1,1,34,0,1,1,1,0,1,0
"361",5e+05,2,2,2,23,1,1,1,1,1,1,1
"362",320000,2,2,2,30,1,1,1,1,1,1,0
"363",50000,1,2,2,32,1,1,1,1,1,1,0
"364",110000,1,1,1,40,1,1,1,1,1,1,1
"365",230000,2,1,2,35,1,1,1,0,0,1,0
"366",330000,2,2,1,56,1,1,0,1,1,0,0
"367",50000,2,2,1,61,1,1,1,1,1,1,0
"368",10000,1,2,2,24,1,1,1,1,1,1,0
"369",3e+05,1,1,1,40,0,0,0,0,0,0,0
"370",20000,2,2,1,32,1,1,1,1,1,1,1
"371",180000,1,2,1,36,0,0,0,0,0,1,1
"372",160000,1,1,2,30,0,0,0,0,0,0,0
"373",90000,2,1,2,34,1,1,1,1,1,1,0
"374",30000,1,3,3,54,1,1,1,1,1,1,0
"375",180000,1,1,1,46,1,1,1,1,1,1,0
"376",30000,1,3,1,58,1,1,1,1,1,1,0
"377",30000,1,2,1,43,1,1,1,1,1,1,0
"378",140000,2,1,2,28,0,0,0,1,1,1,0
"379",210000,1,1,2,30,1,1,1,1,1,1,0
"380",50000,1,2,2,31,1,1,1,1,1,1,1
"381",130000,2,2,2,29,1,1,1,1,1,1,0
"382",50000,2,2,1,37,1,1,1,1,1,1,1
"383",140000,1,3,1,36,1,1,1,1,1,1,0
"384",170000,2,2,2,28,1,1,1,1,1,1,1
"385",80000,1,2,2,25,0,0,1,1,1,1,0
"386",410000,2,4,1,42,1,1,1,1,1,1,0
"387",80000,2,1,2,29,0,0,0,0,1,0,0
"388",80000,1,3,1,73,1,1,1,1,1,1,1
"389",150000,1,2,1,43,1,1,1,1,1,1,0
"390",260000,1,1,1,30,0,0,0,0,0,0,1
"391",350000,1,1,1,38,0,0,0,0,0,0,0
"392",280000,2,2,1,39,1,1,1,1,1,1,1
"393",310000,1,2,1,44,1,1,1,1,1,1,0
"394",140000,2,2,2,29,1,1,1,1,1,1,0
"395",360000,1,1,1,51,0,0,0,0,1,1,0
"396",140000,2,1,2,27,1,1,1,1,1,1,0
"397",1e+05,1,1,2,38,1,1,1,1,1,1,0
"398",50000,2,2,2,22,1,0,1,0,0,0,0
"399",210000,2,2,1,30,1,1,1,1,1,1,0
"400",120000,2,2,2,25,1,1,1,1,1,1,0
"401",240000,1,1,2,29,1,1,1,1,1,1,0
"402",60000,2,3,3,42,1,1,1,1,1,1,0
"403",150000,1,1,2,41,1,1,1,1,1,1,1
"404",30000,1,2,1,48,1,1,1,1,1,1,0
"405",160000,2,1,2,29,1,1,1,1,1,1,1
"406",2e+05,1,1,1,52,1,0,0,0,0,0,0
"407",120000,2,2,1,25,0,0,0,0,1,1,0
"408",5e+05,1,1,1,37,1,1,1,1,1,1,0
"409",320000,2,1,2,27,1,1,1,1,1,1,0
"410",280000,1,1,2,31,1,1,1,1,1,1,0
"411",60000,2,1,2,23,1,1,1,1,1,1,1
"412",2e+05,2,1,1,38,0,0,0,0,0,0,0
"413",230000,2,1,1,32,1,1,1,1,0,0,0
"414",230000,2,2,2,27,1,1,1,1,1,1,1
"415",480000,2,3,1,41,1,1,1,1,1,1,0
"416",50000,2,3,1,35,0,0,0,0,1,1,0
"417",2e+05,2,1,2,31,0,0,0,0,1,1,0
"418",50000,2,1,2,30,1,1,1,1,1,1,0
"419",50000,1,2,1,48,1,1,1,1,1,1,0
"420",260000,2,1,2,36,0,0,0,0,0,0,1
"421",30000,1,1,2,24,1,1,1,1,1,1,0
"422",440000,2,1,2,29,1,1,1,1,1,1,0
"423",230000,2,2,2,38,0,1,0,0,1,1,0
"424",2e+05,1,2,1,38,1,1,1,1,1,1,1
"425",490000,2,2,1,30,1,1,1,1,1,1,0
"426",80000,2,2,1,32,0,0,0,0,0,1,0
"427",20000,2,3,2,49,1,1,1,1,1,1,1
"428",170000,2,1,2,31,0,0,1,0,0,0,1
"429",70000,1,1,2,27,1,1,1,1,1,1,0
"430",210000,2,2,2,33,1,1,1,1,1,1,0
"431",90000,2,2,2,25,1,1,1,1,1,1,0
"432",390000,2,1,2,27,1,1,1,1,1,1,1
"433",110000,2,1,2,29,1,1,1,1,1,1,0
"434",580000,2,1,1,36,1,1,1,1,1,1,0
"435",360000,1,3,1,55,0,0,1,1,1,1,0
"436",270000,2,2,1,32,1,1,1,1,1,1,1
"437",60000,2,1,2,27,0,0,1,0,0,1,0
"438",110000,1,3,1,37,1,1,1,1,1,1,0
"439",50000,2,1,1,25,1,1,1,1,1,1,0
"440",80000,2,1,2,23,1,1,1,1,1,1,1
"441",50000,1,2,2,23,1,1,1,1,1,1,0
"442",1e+05,1,1,2,32,1,1,1,1,1,1,0
"443",30000,2,1,2,26,1,1,0,1,0,0,0
"444",2e+05,2,1,2,27,1,1,1,1,1,1,0
"445",240000,1,1,2,44,1,1,1,1,1,1,1
"446",220000,1,2,2,34,1,1,1,1,1,1,0
"447",160000,2,1,2,28,1,1,1,1,1,1,0
"448",180000,2,1,1,53,1,0,1,1,1,1,0
"449",2e+05,1,4,1,42,0,1,1,1,1,1,0
"450",140000,2,3,1,30,1,1,1,1,1,1,0
"451",380000,1,1,1,51,0,0,0,0,0,0,1
"452",6e+05,1,1,1,53,1,1,1,1,1,1,1
"453",260000,1,2,2,37,1,1,1,1,1,1,0
"454",2e+05,2,1,2,26,0,0,0,0,0,1,0
"455",80000,1,2,2,42,1,1,1,1,1,1,0
"456",40000,1,2,2,39,1,1,1,1,1,1,0
"457",130000,1,3,2,39,1,1,1,1,1,1,0
"458",50000,1,1,2,32,0,0,1,1,1,1,0
"459",230000,2,2,1,41,1,1,1,0,1,0,0
"460",70000,1,2,1,48,1,1,1,1,1,1,1
"461",180000,2,2,1,38,1,1,1,1,1,1,0
"462",80000,2,2,1,36,1,0,1,1,1,0,0
"463",290000,2,2,2,26,0,1,0,1,1,1,0
"464",230000,2,1,2,28,1,1,1,1,1,1,0
"465",170000,2,3,3,56,0,0,0,1,0,0,0
"466",230000,1,1,1,59,1,1,1,1,1,1,1
"467",220000,1,1,2,38,1,1,1,1,1,1,1
"468",230000,1,2,2,32,1,1,1,1,1,1,0
"469",5e+05,1,2,1,38,1,1,1,1,1,1,0
"470",90000,2,1,1,41,0,1,0,1,1,1,0
"471",390000,2,3,2,35,1,1,1,1,1,1,1
"472",4e+05,2,2,2,41,1,1,1,1,1,1,0
"473",180000,1,2,1,34,0,0,0,0,1,1,0
"474",60000,1,3,1,38,1,1,1,1,1,1,0
"475",120000,2,2,1,32,1,0,1,0,0,0,0
"476",60000,2,2,2,29,1,1,1,1,1,1,0
"477",50000,1,1,2,44,1,1,1,1,1,1,0
"478",70000,2,2,1,37,1,1,1,1,1,1,0
"479",5e+05,2,1,1,38,0,1,0,1,0,1,0
"480",2e+05,1,1,2,31,0,0,0,0,0,0,0
"481",250000,2,2,1,40,0,0,0,1,1,1,0
"482",140000,1,2,2,26,1,1,1,1,1,1,1
"483",70000,2,2,2,28,1,1,1,1,1,1,0
"484",90000,1,3,1,48,1,1,1,1,1,1,0
"485",1e+05,2,2,1,43,1,1,0,0,0,1,0
"486",190000,1,2,1,31,1,1,1,1,1,1,0
"487",230000,2,1,1,42,1,1,0,1,1,1,0
"488",320000,1,2,1,39,1,1,1,1,1,1,0
